Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico Art. 26 Minerales No Metálicos	Material de construcción Art. 45	Ambiente geológico
Esquisto	 Agoyán	D1A	Está conformado por esquistos de granate-moscovita de grano medio, gneises de grano grueso con cristales de granate de hasta 1 cm de tamaño en el afloramiento tipo y esquistos grafitosos (Litherland et al., 1994).	Esquistos, gneises	N/A	Rocas metamórficas, material pétreo y uso ornamental	"Con la evidencia que se cuenta, se interpreta a esta unidad como sedimentos derivados de una fuente cratónica depositados en una cuenca de margen continental pasiva. Agoyán es una secuencia más pelítica, por lo tanto, en sentido estricto, no es el equivalente de grado superior de las semipelitas de Chigüinda. Sin embargo, no hay evidencia que indique que no se formaron dentro de una cuenca común (Litherland et al., 1994).
Por otra parte, Gutierrez et al. (2019), indica que la fuente de las rocas metasedimentarias de Agoyán provinieron de un magmatismo proximal y limitado por fuentes del basamento andino típico de una configuración de trasarco."
Formación 	Ahuaca	MAh	"Comprende de secuencias de tobas ácidas dacíticas-riolíticas de color gris claro a blanco con tonos rosa, debido al alto contenido de arcillas y óxidos como hematita. Macroscópicamente, las tobas presentan textura volcanoclástica y en ocasiones textura fluidal de grano fino donde es difícil identificar los minerales principales debido a la moderada a intensa alteración dando como resultado una gran cantidad de arcillas que configuran principalmente una alteración argílica; en ciertos sectores estas rocas contienen mineralización de pirita diseminada e incluso se identifica la presencia de arcillas alunita y dickita. Se encuentra conformada por un cuello volcánico andesítico de textura porfirítica y tobas ácidas dacíticas a riolíticas asociadas que afloran en los alrededores. El cuello volcánico constituye la expresión de un volcanismo más joven y a que se encuentra afectando a las rocas que anteriormente estaban agrupadas en la Unidad Sacapalca (Litherland et al., 1994)."	Tobas dacítica, tobas riolíticas, andesitas 	Arcillas (dickita)	Rocas ígneas (andesitas)	Se le asigna un ambiente volcánico de arco continental de afinidad calco-alcalina en sistemas de subducción (INIGEMM b, 2013).
Formación 	Alao-Paute	J3K1Ap	"Litológicamente está conformada por lavas básicas a intermedias masivas, puntualmente amigdaloides, débilmente metamorfizadas, aglomerados y capas de filitas verdes cuyo protolito se piensa que fueron tobas; además se reportan esquistos verdes, esquistos pelíticos, esquistos grafitosos cuarcitas y mármoles. Las metalavas son predominantemente de composición basáltica con escasas andesitas basálticas y andesitas; cuando su grado metamórfico aumenta se convierten en esquistos verdes (Litherland et al., 1994)."	Metabasaltos, metandesitas basáltica, andesitas, aglomerados,filitas, esquistos verdes, esquistos pelíticos, esquistos grafitosos, cuarcitas, mármoles	Cuarzo (cuarcita)	"Rocas ígneas (basaltos),
Rocas metamórficas (esquistos, cuarcitas, mármoles, metabasalto, metandesitas)"	Análisis geoquímicos indican que las rocas de Alao se depositaron en un arco submarino in situ, esta interpretación se fundamenta en la geoquímica bimodal de las lavas (toleíticos y calcoalcalinos), por los datos de los gráficos de disciminación tectónica cuyos datos indican un arco continental y parte de un arco océanico y por la presencia de turbiditas (sedimentos de Maguazo) en el antearco (Carrasco et al., 2023).
Formación 	Arajuno	MA	"Está constituida por areniscas finas a gruesas, conglomerados intercalados con limolitas y arcillolitas rojizas (Baby et al., 2004). Está dividida en tres miembros (inferior, medio y superior). El miembro inferior consiste en areniscas con lentes de conglomerados e intercalaciones arcillosas. El miembro medio está compuesto de arcillas abigarradas con intercalaciones de evaporitas en la base y piroclastos en la tope; este miembro tiene fauna foraminífera y de moluscos de agua dulce. El miembro superior consiste en depósitos esencialmente arenosos con niveles de lignito e intercalaciones arcillosas, estos sedimentos contienen restos de tortugas y moluscos de agua dulce (Baby, Bernal, Christophoul, y Valdez, 1998)."	Areniscas, conglomerados, limolitas, arcillolitas	"Arcillas,
Evaporitas"	"Arenas de origen fluvial, 
Gravas, 
Depósitos tipo aluviales"	"Es interpretada como sistemas fluviales trenzados dominados por arenas con alto aporte de sedimentos siliciclásticos que evoluciona a un sistema fluvial meándrico (Christophoul et al., 2002; Gutierrez et al., 2019)."
Anfibolita 	Arenillas	T3A	Consiste en anfibolitas, esquistos verdes y serpentinitas. Las anfibolitas son de color verde oscuro a negro, poseen textura nematoblástica, estructura foliada, fuertemente crenuladas, compuestas por hornblenda, plagioclasa saussuritizada, minerales accesorios incluyen cuarzo, clinopiroxeno, epidota, clorita, esfena y rutilo. (Aspden et al., 1995).	Anfibolitas, esquistos verdes, serpentinitas.	Feldespato	Rocas metamórficas (esquistos, serpentinitas)	Análisis geoquímicos en roca total indican un protolito de origen oceánico tipo MORB (Aspden et al., 1995).
Formación 	Ayapamba	OM?Ay	Su litología se compone de tobas de líticos, tobas de ceniza, tobas de cristales, lavas andesíticas y ocasionales diques andesíticos (INIGEMM r, 2017).	Tobas de líticos, tobas de ceniza, tobas de cristales, lavas andesíticas, diques andesíticos.	N/A	Rocas ígneas (andesitas)	Corresponde a una serie de flujos volcánicos desarrollados en el arco volcánico continental de Saraguro (INIGEMM r, 2017).
Formación 	Azogues	MAz	"Miembro El Carmen.- Consiste principalmente de areniscas tobáceas de grano fino a grueso de color gris, presenta tonalidades amarillentas por alteración en paquetes métricos, están intercaladas con estratos de limolitas y lutitas en paquetes centimétricos. Presenta finas capas de carbón.
Miembro Guapán.- Consiste principalmente de areniscas tobáceas de grano fino a grueso de color gris, presenta tonalidades amarillentas por alteración en paquetes métricos, están intercaladas con estratos de limolitas y lutitas en paquetes centimétricos.
Miembro Cochas.- Litológicamente comprende una secuencia de depósitos volcánicos primarios, incluyendo tobas, piedra pómez, litarenitas de composición volcánica y en menor proporción conglomerados finos (Steinman, 1997; Hungerbühler et al., 2002)."	Areniscas, areniscas tobáceas, limolitas, lutitas, tobas, litarenitas, piedra pómez, capas de carbón.	"Limolitas
"	Rocas ígneas (pómez)	"Ambiente deltaico basado en la presencia de fauna de ostrácodos marinos que sugiere una conexión con el oceano (Steinman, 1997; Hungerbühler et al., 2002)."
Formación 	Belén	MBe	Litológicamente está constituida por capas de areniscas marrones de grano grueso que contiene lentes de conglomerados con estratificación horizontal y depósitos residuales (material fino es removido y únicamente el material grueso se preserva, generalmente se reporta en canales fluviales), se observan, además lutitas marrones y limolitas con laminación paralela que ocasionalmente presentan restos vegetales (Hungerbühler D., 1997).	Areniscas, conglomerados, lutitas, limolitas	"Limolitas
"	"Arenas de origen fluvial, 
Depósitos tipo aluviales"	"La variación de facies permite interpretar que existe una transición de un ambiente de lagoon donde se depositó las calizas de La Banda, a un entorno fluvio deltaico que permitió la depositación de la Formación Belén (Hungerbühler, 1997; Hungerbühler et al., 2002; INIGEMM a, 2017)."
Formación 	Biblián	MB	"Constituida por sedimentos finos, donde dominan las arcillolitas de colores púrpura y verde con niveles de areniscas y conglomerados finos, los clastos de estos conglomerados estás conformados por cuarzo, filitas y volcánicos. Estas secuencias sedimentarias se encuentran estratificadas y fuertemente erosionadas, formándose arcillas de color rojizo.(Steinmann, 1997; Hungerbühler et al, 2002)."	Arcillolitas, areniscas, conglomerados  	"Arcillas (arcillolitas),
Cuarzo (clastos)
"	"Arenas de origen fluvial, 
Depósitos tipo aluviales"	"Lavenu y Noblet (1990) describen los depósitos de la Formación  Biblián como típicos de ambientes fluviátiles trenzados y conos aluviales, con paleocorrientes que sugieren un transporte fluvial de sur a norte; mientras que, Steinmann (1997), propone que la Formación Biblián se depositó en un sistema fluvial meándrico, caracterizado por sedimentos de canales interfluviales en llanuras con transporte de este a oeste, basado en los componentes metamórficos en los conglomerados finos, provenientes de la cordillera Real."
Formación 	Bramaderos	KBr	La secuencia está constituida por rocas volcanoclásticas principalmente de grano fino, estratificadas, que incluyen tobas de color café, grauvacas, microaglomerados y aglomerados polimícticos bien consolidados y esporádicamente en la secuencia estratificada se encuentran intercalaciones de lavas de composición andesita basáltica de textura porfirítica (INIGEMM a, 2013).	Tobas, grauvacas, aglomerados, andesitas basálticas	N/A	Rocas ígneas (andesitas basálticas)	Es interpretada como la fase distal volcanoclástica del arco Celica (INIGEMM a, 2013).
Formación 	Burrohuaycu	MBh	"Consiste de conglomerados, areniscas y algunas rocas volcanoclásticas. Comprende tres miembros informales: 
Miembro Volcanoclástico.- Areniscas volcanoclásticas bien estratificadas con cantidades subordinadas de tobas.
Miembro Arenisca.- Las rocas volcanoclásticas y conglomerados gradan hacia la parte superior a una asociación de areniscas de grano medio a grueso, con estratificación cruzada, ripples y estratificación horizontal, además de limolitas rojas con estratificación horizontal. Los canales de areniscas exceden volumetricamente a las limolitas y contienen capas finas de conglomerados.
Miembro Conglomerado.- Comprenden conglomerados de grano grueso, clasto-soportado y pobremente sorteados. Los clastos son bien redondeados y consisten de piroclastos de composición intermedia a ácida, provenientes del arco volcánico Saraguro (Hungerbühler, 1997).
"	Conglomerados, areniscas volcanoclásticas, tobas, areniscas, limolitas 	"Limolitas

"	"Arenas de origen fluvial, 
Depósitos tipo aluviales"	Sistema continental fluvial de baja energía de ríos trenzados con aportes locales de abanicos aluviales en los bordes de la cuenca (Hungerbühler, 1997).
Peridotita 	Campo Real 	J3K1Cr	Comprende litodemas generalmente concordantes entre sí, que incluyen harzburgitas y gabros serpentinizados  (INIGEMM r, 2017).	Harzburgita, gabros	N/A	Rocas ígnea (gabro)	Se presenta como una inclusión tectónica en lentes discontinuos con rumbo E–O, fuertemente tectonizados y fragmentados (INIGEMM r, 2017)
Formación 	Cañaveral	K2Cv	"Litológicamente describe potentes capas de areniscas líticas en secuencia grano decreciente con niveles de microconglomerados cuarzosos de grano grueso y, en la parte superior afloran potentes estratos de conglomerados de grano muy grueso con clastos de rocas metamórficas tipo guijarro en mayor proporción y volcánicos en ciertos casos, además se observan pequeños niveles de limos y lodolitas de color negro a gris intercaladas con estratos delgados de areniscas finas (IIGE a, 2019; INIGEMM b, 2017)."	Areniscas líticas, conglomerados, limos, lodolitas.	"Limolitas,
Cuarzo (clastos)"	Gravas	La intercalación de capas de conglomerados y areniscas gradadas son indicativos de facies turbidíticas Ta (Jaillard et al., 1999).
Formación 	Capilla	PcCp	Está conformada principalmente por andesitas porfiríticas y en menor proporción andesitas basálticas de color verde oscuro. También se reportan de brechas volcánicas con líticos angulosos a subangulosos andesíticos, con tonalidades verde turquesa a violeta, así como flujos aglomeráticos masivos, mal sorteados, en una matriz areno-tobacea, poco consolidada y localmente volcanosedimentos (INIGEMM d, 2017).	Andesitas, andesitas basálticas, brechas volcánicas, aglomerados y volcanosedimentos 	N/A	Rocas ígneas (andesitas, andesitas basálticas)	Esta secuencia volcánica se formó en el arco volcánico continental Sacapalca (INIGEMM d, 2017).
Formación 	Casanga	K2Ca	"Consiste en capas decimétricas bien estratificadas y plegadas de conglomerados, microconglomerados de color café verdoso, areniscas de grano fino a medio y en menor proporción limolitas pardas, en capas de diferente consolidación, comúnmente estas rocas se encuentran cizalladas y con material calcáreo rellenando las fracturas. (Jaillard, et al., 1999; INIGEMM a, 2013)."	Conglomerados, areniscas, limolitas	Limolitas 	Gravas	"Ambiente de turbiditas en un abanico submarino (Jaillard, et al., 1999; INIGEMM a, 2013)."
Formación 	Catacocha	ECt	Conformada por aglomerados, brechas y tobas masivas de color gris, púrpura y marrón amarillento, de composición intermedia a ácida cortada por diques ácidos. Dentro de la secuencia se encuentran intercalaciones de conglomerados mal clasificados, flujos laharíticos distales y areniscas tobáceas (INIGEMM a, 2013).	Aglomerados, brechas, tobas, conglomerados, areniscas tobáceas	N/A	Flujos laharíticos	Secuencia de rocas volcánicas típicas de arco volcánico continental (INIGEMM a, 2013)
Formación 	Catamayo	MCa	"Está conformada hacia la base de la secuencia por lutitas con algunas intercalaciones de areniscas de grano grueso con aporte volcánico, calizas y abundantes vetillas de yeso, en la parte media de la secuencia se reportan areniscas de grano grueso y conglomerados, hacia el tope de la secuencia existe un predominio de lutitas con pocos intervalos de areniscas y en menor cantidad vetillas de yeso y calizas (Hungerbühler, 1997; Hungerbühler et al., 2002)."	Lutitas, areniscas, conglomerados, calizas	"Calizas
Yeso (vetillas)
Evaporitas"	Gravas	"Interpretaciones de facies sugieren que la secuencia se depositó en ambientes de llanura costera con intervalos fluviales y de sabkha marina (evaporitas)  (Hungerbühler, 1997; Hungerbühler et al., 2002; INIGEMM d, 2017)."
Formación 	Cazaderos	K2Cz	"Comprende secuencias de limolitas negras en estratos muy delgados y lutitas, por lo general con vetillas de calcita, en intercalación con pequeños niveles de areniscas calcáreas, además de capas y concreciones alargadas de caliza color gris con presencia de fósiles (Jaillard et al 1999, INIGEMM b, 2017; IIGE b, 2019)."	Limolitas, lutitas, areniscas calcáreas.		Materiales pétreos	"Es interpretada como depósitos distales de pendientes consistentes con un deposición en un entorno marino profundo (Jaillard et al., 1999; Shanmungam, 2012)."
Formación 	Celica	K1C	Corresponde a una secuencia de rocas volcanoclásticas (hialoclastitas o brechas volcánicas), intercaladas con mantos de lava de composición andesítica basáltica, las mismas que generalmente se encuentran silicificadas, cloritizadas y epidotizadas en menor grado y tobas de cristales consolidadas de composición intermedia, además, contiene lavas dacíticas e intrusiones félsicas menores (INIGEMM a, 2013).	Hialoclastitas, brechas, andesitas, basaltos, dacitas, tobas de cristales.		Presencia de prehnita	"Estas rocas representarían la parte más proximal del arco volcánico submarino (Winter et al.. 2010; INIGEMM a, 2013)."
Formación 	Cerro Caucay	OCc	Consiste principalmente de una gruesa capa subhorizontal de tobas riolíticas intensamente soldadas y con diaclasas columnares, exhiben texturas vitroclásticas y contienen abundante feldespato, biotita, anfíbol y cuarzo (Dunkley y Gaibor, 1997).	Tobas riolíticas, riolitas		Materiales pétreos	Las evidencias indican que las tobas de la Formación Cerro Caucay fueron erupcionados rápidamente desde una cámara magmática diferenciada y zonada. La afinidad geoquímica de las rocas de la Formación Cerro Caucay son calcoalcalinas, típicas de un arco y principalmente de composición riolítica (Dunkley & Gaibor, 1997).
Formación	Cerro Mandango	MPLCm	"Consta de dos miembros:
Miembro arenisca.- Consiste en areniscas de grano medio a grueso, capas de gravas y en menor cantidad limolitas. Los conglomerados consisten en clastos metamórficos (esquistos grafíticos, metagranitos).
Miembro conglomerado.- Contiene conglomerados de composición metamórfica con diámetros de hasta 1 m, muestran imbricación, son pobremente sorteados y tienen clasto-soportado.
 (Hungerbühler D., 1997; Hungerbühler D.et al., 2002)."	Areniscas, conglomerados, capas de gravas, limolitas.		Materiales pétreos	"La Formación Cerro Mandango inicia su depósito en un ambiente fluvial y culmina en un sistema de abanico aluvial. El material que conforma esta formación proviene de cordillera Real (Hungerbühler, 1997; Hungerbühler et al., 2002)."
Formación 	Chaguarpamba	KCh	"Se trata de una secuencia de rocas verdes de grano fino a medio, generalmente estratificadas, incluye tobas arenosas, grauvacas, finos lentes subordinados de lutitas y limolitas de color gris y negro, constituidas por materiales de origen volcanosedimentario. Las lutitas y limolitas constituyen las facies marinas mas profundas de la cuenca, estos niveles sedimentarios contienen restos de macrofósiles (amonites y bivalvos) (INIGEMM b, 2013; INIGEMM a, 2013)."	Tobas arenosas, grauvacas, lutitas, limolitas.		Materiales pétreos	"Las litologías de Chaguarpamba constituyen las fases distales de la unidad Bramaderos (INIGEMM b, 2013; INIGEMM a, 2013)."
Formación 	Chalcana	OMCh	Está conformada por arciillolitas rojas más o menos arenosas y arcillolitas abigarradas características de paleosuelos, con intercalaciones arenosas de tipo canal fluvial (Tschopp, 1953 en DGGM, 1980d).	Arcillolitas		Materiales pétreos	Es interpretada como sistemas fluviales meándricos distales con aporte sedimentario reducido (Gutierrez et al., 2019).
Formación 	Chambira	MPLCh	"Constituida principalmente por conglomerados con clastos de cuarzo lechoso con matriz arcillo - arenosa cuarzosa; pasando progresivamente a depósitos más finos (areniscas y limolitas). (Baby et al., 2004). La formación está dividida en tres miembros (inferior, medio y superior). El miembro inferior comprende 400 m de areniscas de grano medio a grueso, a veces con niveles de conglomerados con guijarros de arcillas, estas areniscas se encuentran intercaladas de arcillas laminadas con fósiles de plantas. El miembro medio comprende 400 m de conglomerados en alternancia con niveles de arcillas tobáceas y de areniscas finas con huellas de hojas. El miembro superior está constituido por conglomerados con troncos silicificados (Baby et al., 1998). "	Conglomerados, areniscas, limolitas, arcillas tobáceas.		Materiales pétreos	Por sus características sedimentológicas se interpreta como depósito de un río potente (entrelazado) con episodios de flujos de lodo, también se observan flujos gravitacionales, lo que se puede encontrar en ríos de piedemonte, cerca de la zona apical de un abanico aluvial, desarrollado en el Mioceno al Plioceno (Christophoul et al., 2002).
Formación 	Chanlud	O?Cd	"Está conformada por capas subhorizontales de lavas y brechas andesíticas a dacíticas y en raras ocasiones flujos riolíticos, en menor porcentaje se registran intercalaciones de areniscas volcánicas, conglomerados y tobas; en algunas áreas particularmente hacia la base de la formación se evidencia la predominancia de brechas tanto autoclásticas como epiclásticas; es común la presencia de diques andesíticos (Dunkley y Gaibor, 1997)."	Lavas andesíticas, lavas dacíticas, brechas andesíticas, brechas dacíticas, flujos riolíticos, areniscas, conglomerados, brechas.		Materiales pétreos	Consiste predominantemente de lavas y brechas andesíticas que erupcionaron en un ambiente subaéreo, aunque, localmente aparecen lavas dacíticas y riolíticas . La geoquímica de las rocas analizadas presenta una afinidad calco-alcalina, típico de ambientes de arco (Dunkley & Gaibor, 1997a).
Formación 	Changaimina 	K2PcCh	"La secuencia comprende principalmente lavas andesíticas a basálticas en ocasiones se forman domos de afinidad calcoalcalina, textura porfirítica, de color gris y púrpura, contiene aglomerados de color gris y crema claro, medianamente consolidados de clastos de lavas y tobas de cristales, esporádicamente se encuentran brechas piroclásticas de tonalidad verdosa, (INIGEMM a, 2013; IIGE c, 2019) "	Andesitas, basaltos, aglomerados, tobas de cristales, brechas.		Materiales pétreos	"La unidad Changaimina representa el carácter efusivo del arco volcánico Sacapalca y marca el inicio del volcanismo en la región (INIGEMM a, 2013; IIGE c, 2019)."
Formación 	Chapiza	J2K1Ch	Comprende una sucesión de sedimentos clásticos rojos, continentales no metamorfizados y bajo buzamiento, que se depositaron en un ambiente continental de clima seco o desértico, con pequeñas incursiones marinas (transgresiones) de distribución local. Tschop (1953) las divide en tres miembros informales (inferior, medio y superior). El miembro inferior corresponde a una alternancia de lutitas, limolitas y areniscas de color gris, rosado y violeta, con evaporitas. El miembro medio es una alternancia de lutitas y areniscas de color rojo, pero sin intercalaciones de evaporitas. El miembro superior comprende lutitas, areniscas y conglomerados de color rojo, y también areniscas tobáceas, areniscas feldespáticas, brechas tobáceas, tobas, andesitas y basaltos (Baby et al., 1998).	Lutitas, limolitas areniscas, evaporitas, conglomerados, areniscas tobáceas, areniscas feldespáticas, brechas tobáceas, tobas, andesitas, basaltos	"Evaporitas (yeso, anhidrita)
Limolitas
Feldespatos (areniscas feldespáticas)"	"Arcillas superficiales (por meteorización)
Rocas ígneas (andesitas, brechas tobáceas, tobas, basaltos)"	Las asociaciones de facies sugieren un entorno de abanico aluvial con canales trenzados y depósitos menores de flujos de escombros. La abundancia de material volcanoclástico y la mala clasificación de los clastos volcánicos indican una fuente volcánica proximal (Vallejo et al., 2021).
Formación 	Chaquino	K2Ch	"Contiene una alternancia en capas centimétricas de lutitas, limolitas de color negro a gris oscuro, con nódulos calcáreos alargados. La parte inferior de la formación comprende una alternancia de lutitas y limolitas calcáreas (100 m) y la superior en la que se alternan en proporciones similares lutitas y areniscas finas siliciclásticas (150 m), todas las alternancias contienen esporádicamente capas métricas de grauvaca por una contaminación volcánica distal y capas muy delgadas de margas fosilíferas (IIGE a, 2019; INIGEMM b, 2017)."	Lutitas, limolitas y areniscas finas silisiclásticas.		Materiales pétreos	"Se desarrolló en un ambiente turbidítico de mar profundo, por la presencia de trazas fósiles de Thalassinoides. Las lutitas negras en varios sitios contienen el único fósil reconocible: Inoceramus, de entre 5 y 30 cm, con 26 anillos. Las lutitas forman terrenos de bajo relieve y menor resistencia a la erosión que las grauvacas de la Formación Tronco Quemado (IIGE a, 2019; INIGEMM b, 2017)."
