Unidad de término	Nombre	Abreviatura de la unidad actual	Litología	Litología representativa	Interés económico	Ambiente geológico		
Esquisto	 Agoyán	D1A	Está conformado por esquistos de granate-moscovita de grano medio y gneises de grano grueso con cristales de granate de hasta 1 cm de tamaño en el afloramiento tipo (Litherland, Aspden, y Jemielita, 1994).			Con la evidencia que se cuenta, se interpreta a esta unidad como sedimentos derivados de una fuente cratónica depositados en una cuenca de margen continental pasiva. La unidad de Agoyán es una secuencia más pelítica, por lo tanto, en sentido estricto, no es el equivalente de grado superior de los semipelitas de Chigüinda. Sin embargo, no hay evidencia que indique que no se formaron dentro de una cuenca común (Litherland, Aspden, y Jemielita, 1994).		
Formación 	Ahuaca	MAh	"Comprende de secuencias de tobas ácidas dacíticas-riolíticas de color gris claro a blanco con tonos rosa, debido al alto contenido de arcillas y óxidos como hematita. Macroscópicamente, las tobas presentan textura volcanoclástica y en ocasiones textura fluidal de grano fino donde es difícil identificar los minerales principales debido a la moderada a intensa alteración dando como resultado una gran cantidad de arcillas que configuran principalmente una alteración argílica; en ciertos sectores estas rocas contienen mineralización de pirita diseminada e incluso se identifica la presencia de arcillas alunita y dickita. Se encuentra conformada por un cuello volcánico andesítico de textura porfirítica y tobas ácidas dacíticas a riolíticas asociadas que afloran en los alrededores. El cuello volcánico constituye la expresión de un volcanismo más joven y a que se encuentra afectando a las rocas que anteriormente estaban agrupadas en la Unidad Sacapalca (Litherland, Aspden, y Jemielita, 1994)."	Tobas dacítica, tobas riolíticas, andesitas 	Arcillas con alteración argílica, alunita y dickita.	Se le asigna un ambiente volcánico de arco continental de afinidad calco-alcalina en sistemas de subducción (INIGEMM b, 2013).		
Formación 	Alao Paute	J3K1Ap	"Litológicamente está conformada por lavas básicas a intermedias masivas, puntualmente amigdaloides, débilmente metamorfizadas, aglomerados y capas de filitas verdes cuyo protolito se piensa que fueron tobas; además se reportan esquistos verdes, esquistos pelíticos, esquistos grafíticos cuarcitas y mármoles. Las metalavas son predominantemente de composición basáltica con escasas andesitas basálticas y andesitas; cuando su grado metamórfico aumenta se convierten en esquistos verdes. "			"Análisis geoquímicos indican que las rocas de Alao son Basaltos de Arco de Islas Oceánico de afinidad toleítica, por lo cual, se interpreta que las rocas de esta unidad litoestratigráfica se originaron en una Arco insular con sedimentos de aguas profundas subordinadas (Litherland, Aspden, y Jemielita, 1994; Spikingset al., 2014). "		
Formación 	Arajuno	MA	"Está constituida por areniscas finas a gruesas, conglomerados intercalados con limolitas y arcillolitas rojizas (Baby et al., 2004). Está dividida en tres miembros (inferior, medio y superior). El miembro inferior consiste en areniscas con lentes de conglomerados e intercalaciones arcillosas. El miembro medio está compuesto de arcillas abigarradas con intercalaciones de evaporitas en la base y piroclastos en la tope; este miembro tiene fauna foraminífera y de moluscos de agua dulce. El miembro superior consiste en depósitos esencialmente arenosos con niveles de lignito e intercalaciones arcillosas, estos sedimentos contienen restos de tortugas y moluscos de agua dulce (Baby, Bernal, Christophoul, y Valdez, 1998)."	Areniscas, conglomerados, limolitas, arcillolitas	Materiales pétreos	"Es interpretada como sistemas fluviales dominados por arenas con alto aporte de sedimentos siliciclásticos (Christophoul et al., 2002; Gutierrez et al., 2019)."		
Anfibolita 	Arenillas	T3A	Consiste en anfibolitas, esquistos verdes y serpentinitas. Las anfibolitas son de color verde oscuro a negro, poseen textura nematoblástica, estructura foliada, fuertemente crenuladas, compuestas por hornblenda, plagioclasa saussuritizada, minerales accesorios incluyen cuarzo, clinopiroxeno, epidota, clorita, esfena y rutilo. (Aspden et al., 1995).	Anfibolitas, esquistos verdes, serpentinitas.	Materiales pétreos	Análisis geoquímicos en roca total indican un protolito de origen oceánico tipo MORB (Aspden et al., 1995).		
Formación 	Ayapamba	OM?Ay	Su litología se compone de tobas de líticos, tobas de ceniza, tobas de cristales, lavas andesíticas y ocasionales diques andesíticos (INIGEMM r, 2017).	tobas de líticos, tobas de ceniza, tobas de cristales, lavas andesíticas, diques andesíticos.	Tobas con fuerte alteración argílica.	Corresponde a una serie de flujos volcánicos desarrollados en el arco volcánico continental de Saraguro (INIGEMM r, 2017).		
Formación 	Azogues	MAz	"Miembro El Carmen.- Consiste principalmente de areniscas tobáceas de grano fino a grueso de color gris, presenta tonalidades amarillentas por alteración en paquetes métricos, están intercaladas con estratos de limolitas y lutitas en paquetes centimétricos. Presenta finas capas de carbón.
Miembro Guapán.- Consiste principalmente de areniscas tobáceas de grano fino a grueso de color gris, presenta tonalidades amarillentas por alteración en paquetes métricos, están intercaladas con estratos de limolitas y lutitas en paquetes centimétricos.
Miembro Cochas.- Litológicamente comprende una secuencia de depósitos volcánicos primarios, incluyendo tobas, piedra pómez, litarenitas de composición volcánica y en menor proporción conglomerados finos (Steinman, 1997; Hungerbühler et al., 2002)."	Areniscas, areniscas tobáceas, limolitas, lutitas, tobas, litarenitas, piedra pómez, capas de carbón.	Areniscas tobáceas para material pétreo	"Ambiente deltaico basado en la presencia de fauna de ostrácodos marinos que sugiere una conexión con el oceano (Steinman, 1997; Hungerbühler et al., 2002)."		
Formación 	Belén	MBe	Litológicamente está constituida por capas de areniscas marrones de grano grueso que contiene lentes de conglomerados con estratificación horizontal y depósitos residuales, se observan, además lutitas marrones y limolitas con laminación paralela que ocasionalmente presentan restos vegetales (Hungerbühler D., 1997).			"La variación de facies permite interpretar que existe una transición de un ambiente de lagoon donde se depositó el Miembro La Banda, a un entorno fluvial deltaico que permitió la depositación de la Formación Belén (Hungerbühler D., 1997; Hungerbühler D.et al., 2002; INIGEMM a, 2017)."		
Formación 	Biblián	MB	"Constituida por sedimentos finos, donde dominan las arcillolitas de colores púrpura y verde con niveles de areniscas y conglomerados finos, los clastos de estos conglomerados estás conformados por cuarzo, filitas y volcánicos. Estas secuencias sedimentarias se encuentran estratificadas y fuertemente erosionadas, formándose arcillas de color rojizo.(Steinmann, 1997; Hungerbühler et al, 2002)."	Arcillolitas, areniscas, conglomerados  	Arcillolitas para uso en material de construcción.	(Lavenu & Noblet, 1990) describen los depósitos de la Formación  Biblián como típicos de ambientes fluviátiles trenzados y conos aluviales, con paleo-corrientes que sugieren un transporte fluvial de sur a norte, mientras que, Steinman (1997), propone que la Formación Biblián se depositó en un sistema fluvial meándrico, caracterizado por sedimentos de canales interfluviales en llanuras con transporte de este a oeste, basado en los componentes metamórficos en los conglomerados finos, provenientes de la cordillera Real.		
Formación 	Bramaderos	KBr	La secuencia está constituida por rocas volcanoclásticas principalmente de grano fino, estratificadas, que incluyen microaglomerados y aglomerados polimícticos bien consolidados, tobas de color café, grauvacas y esporádicamente en la secuencia estratificada se encuentran intercalaciones de lavas de composición basáltico-andesítica de textura porfirítica (INIGEMM a, 2013).			Es interpretada como la fase distal volcanoclástica del arco Punta de Piedra (INIGEMM a, 2013).		
